MonthYear,Date,Excess CAPE Yield,CPI,CPI Change,Recession Phase,Recession Period,In Recession,USGGBE01 Index,USGGBE02 Index,USGGBE05 Index,USGGBE10 Index,USGGBE30 Index,Fed Fund Effective Rate,UST2Y,UST5Y,UST10Y,UST30Y,Real IR 2Y,Real IR 5Y,Real IR 10Y,Real IR 30Y,RealGDP,RealGDP Annualized Growth 1yr,RealGDP Annualized Growth 3yr,RealGDP Annualized Growth 5yr,US IG Spread,US HY Spread,Real_M1,Real_M2,Real_M1_Growth,Real_M1_Pct_Growth,Real_M2_Growth,Real_M2_Pct_Growth,Unemployment Rate,ACMTP05,ACMTP10,US IG Spread Ex ERPB And Term Premia
Feb-2023,2023-02-28,0.0236,296.11,-0.22999999999996135,Other time,,False,3.4475,3.1811,2.5946,2.3783,2.3314,4.57,4.819,4.184,3.923,3.917,1.6379000000000001,1.5894000000000004,1.5447000000000002,1.5856,20182.491,0.008812776411450063,0.016497356845459388,0.01966112393916708,130.0,422.0,19336.7,6982.5,-234.59999999999854,-0.011986940060190103,-66.10000000000036,-0.009377748772805998,3.6,-0.54336,-0.42567,22.626084337368567
Jan-2023,2023-01-31,0.025,296.34,-0.4600000000000364,Other time,,False,2.1313,2.3314,2.3275,2.2456,2.218,4.33,4.203,3.618,3.511,3.634,1.8716000000000004,1.2904999999999998,1.2654,1.416,20182.491,0.008812776411450063,0.016497356845459388,0.01966112393916708,125.0,430.0,19571.3,7048.6,-259.5,-0.013085705064848619,-83.79999999999927,-0.01174920083001504,3.4,-0.83359,-0.72745,22.302951530114257
Dec-2022,2022-12-31,0.0249,296.8,-0.9099999999999682,Other time,,False,2.1353,2.3127,2.3827,2.2972,2.346,4.33,4.429,4.005,3.877,3.966,2.1163000000000003,1.6223,1.5797999999999996,1.62,20182.491,0.008812776411450063,0.016497356845459388,0.01966112393916708,138.0,481.0,19830.8,7132.4,-137.70000000000073,-0.006895860981045183,-26.600000000000364,-0.0037156027378125946,3.5,-0.59801,-0.51142,29.575437645819335
Nov-2022,2022-11-30,0.0223,297.71,-0.30000000000001137,Other time,,False,2.3752,2.5327,2.4765,2.3683,2.4193,3.83,4.312,3.738,3.607,3.738,1.7793,1.2614999999999998,1.2387000000000001,1.3187000000000002,20182.491,0.008812776411450063,0.016497356845459388,0.01966112393916708,142.0,455.0,19968.5,7159.0,-130.29999999999927,-0.006482974107906904,-30.699999999999818,-0.0042699973573306,3.6,-0.73039,-0.67978,45.10223718393793
Oct-2022,2022-10-31,0.0228,298.01,1.1999999999999886,Other time,,False,2.7341,2.8562,2.6561,2.5112,2.5467,3.08,4.485,4.23,4.05,4.167,1.6288000000000005,1.5739000000000005,1.5387999999999997,1.6202999999999999,20182.491,0.008812776411450063,0.016497356845459388,0.01966112393916708,166.0,463.0,20098.8,7189.7,-180.60000000000218,-0.008905588922749301,-68.5,-0.009437601609214407,3.7,-0.25795,-0.13892,52.783531279251164
Sep-2022,2022-09-30,0.0254,296.81,0.6399999999999864,Other time,,False,1.7184,1.9819,2.1602,2.1545,2.0899,3.08,4.281,4.092,3.832,3.779,2.2990999999999997,1.9317999999999995,1.6774999999999998,1.6890999999999998,20054.663,0.01942138388053949,0.015842581732452343,0.02040628273596945,167.0,543.0,20279.4,7258.2,-199.09999999999854,-0.00972239177674139,-75.80000000000018,-0.010335424052358901,3.5,-0.39777,-0.44951,55.539689938469394
Aug-2022,2022-08-31,0.029,296.17,-0.1099999999999568,Other time,,False,2.1191,2.3906,2.6367,2.4813,2.353,2.33,3.495,3.353,3.195,3.294,1.1044,0.7163000000000004,0.7136999999999998,0.9409999999999998,20054.663,0.01942138388053949,0.015842581732452343,0.02040628273596945,148.0,503.0,20478.5,7334.0,-109.79999999999927,-0.005333126095889378,-32.30000000000018,-0.004384833634253313,3.7,-0.57073,-0.68902,33.68701779375621
Jul-2022,2022-07-31,0.0315,296.28,-0.03000000000002956,Other time,,False,3.791,3.2454,2.8068,2.5526,2.3095,2.32,2.887,2.678,2.651,3.011,-0.35840000000000005,-0.12880000000000003,0.09839999999999982,0.7015000000000002,20054.663,0.01942138388053949,0.015842581732452343,0.02040628273596945,153.0,483.0,20588.3,7366.3,-19.900000000001455,-0.000965635038479899,14.800000000000182,0.002013194586138908,3.5,-0.71185,-0.80347,35.26728181608539
Jun-2022,2022-06-30,0.0289,296.31,4.009999999999991,Other time,,False,4.2829,3.2877,2.6173,2.3449,2.2055,1.58,2.957,3.04,3.016,3.185,-0.3307000000000002,0.42269999999999985,0.6711,0.9795000000000003,19895.271,0.01796042498028072,0.01614083155669599,0.020459591782397313,164.0,587.0,20608.2,7351.5,-30.899999999997817,-0.001497158306321391,-86.89999999999964,-0.011682619918261944,3.6,-0.26885,-0.27785,38.547589382624864
May-2022,2022-05-31,0.0279,292.3,3.1899999999999977,Other time,,False,4.6467,3.8585,2.9572,2.6525,2.4064,0.83,2.559,2.82,2.847,3.047,-1.2994999999999997,-0.1372,0.19450000000000012,0.6406000000000001,19895.271,0.01796042498028072,0.01614083155669599,0.020459591782397313,140.0,422.0,20639.1,7438.4,-12.700000000000728,-0.0006149585024066051,-72.80000000000018,-0.009692192991798939,3.6,-0.16521,-0.32192,18.407338443347044
Apr-2022,2022-04-30,0.0251,289.11,1.6100000000000136,Other time,,False,5.1157,4.3591,3.3481,2.9388,2.5921,0.33,2.718,2.957,2.937,3.0,-1.6410999999999998,-0.3911000000000002,-0.0018000000000002458,0.40790000000000015,19895.271,0.01796042498028072,0.01614083155669599,0.020459591782397313,141.0,397.0,20651.8,7511.2,-12.799999999999272,-0.000619416780387681,-36.600000000000364,-0.004849095100559152,3.6,-0.11549,-0.33034,27.025949308103492
Mar-2022,2022-03-31,0.0307,287.5,3.7799999999999727,Other time,,False,5.6303,4.4079,3.4252,2.8288,2.4425,0.33,2.337,2.462,2.341,2.45,-2.0708999999999995,-0.9631999999999996,-0.4878,0.007500000000000284,19924.088,0.03683678957947212,0.018906775030650635,0.021781466553531637,122.0,343.0,20664.6,7547.8,131.0,0.006379787275489929,-31.099999999999454,-0.004103497869083832,3.6,-0.42502,-0.79372,6.106907316611455
Feb-2022,2022-02-28,0.0313,283.72,2.57000000000005,Other time,,False,5.1577,4.0409,3.1505,2.6218,2.2962,0.08,1.434,1.719,1.827,2.164,-2.6068999999999996,-1.4315,-0.7948,-0.13219999999999965,19924.088,0.03683678957947212,0.018906775030650635,0.021781466553531637,130.0,377.0,20533.6,7578.9,27.299999999999272,0.00133129818641097,-51.0,-0.006684229151102898,3.8,-0.48466,-0.72243,10.547266024589533
